Shipping_ID,Customer_ID,Postal_Code,City,State,Country,Shipping_Address
42,56c4bfa9-94e2-4d89-b992-7fbcf9f912ee,42074,Petersonberg,Mississippi,Iraq,"907 Hudson Valley Apt. 615
Christopherhaven, NY 43832"
43,cc607ff7-261b-4f0a-832a-c8ed7fb31015,81839,Josephfurt,New Hampshire,Saint Martin,"9944 Courtney Locks Suite 476
Mcgrathside, FL 98564"
44,00d78252-3e0a-4340-9779-6a5ab4a2144f,50782,Alexandertown,Pennsylvania,Benin,"02362 Holmes Mills
Lake Joshuastad, MA 11967"
45,dc4fe353-c432-4318-a660-3566b14c81c1,54469,Perrymouth,Colorado,Grenada,"7891 Debra Green Suite 310
Sethshire, HI 06625"
46,5a2396f1-7faf-43f8-a7f7-5188ca2d993a,62890,West Kristina,Minnesota,Grenada,"92465 Heidi Dam Apt. 283
Lake Moniquefurt, MI 85122"
47,2da8341b-0bba-4908-ad03-3f983d9d5189,62367,East Lorihaven,Indiana,Svalbard & Jan Mayen Islands,"541 White Turnpike Apt. 850
Johnsonfurt, TN 26786"
48,2eb6f81d-aae1-489d-9c78-3f8b125bf613,14521,Sharonside,Rhode Island,Kyrgyz Republic,"60278 Stephanie Pike
South Marisafurt, FL 19548"
49,998e49e5-f6ba-4fa9-853e-ce4ac86645ee,34835,Vincentside,Massachusetts,Philippines,"187 Hansen Spur
North Mirandaberg, OK 44149"
50,223bb9aa-b16b-415b-b903-849604081f59,91637,East David,Vermont,Brunei Darussalam,"8357 Tamara Loaf Apt. 358
North Mauriceberg, PR 61943"
51,ce907f53-4702-4940-9d23-bd00335047a4,32130,Lake Hannah,Georgia,Central African Republic,"79194 Morrow Well
Prestonport, FM 19396"
52,01a23274-2269-4ee1-8bac-8ce6c9dc1347,34188,New Erin,Illinois,Samoa,"9515 Brandon Hollow Apt. 646
Port Diana, MT 57151"
53,043683fc-488e-404a-8518-7c992ab41f2f,42481,South Codyside,Montana,Sri Lanka,"350 Christopher Rapid Apt. 545
East Codyville, PA 54646"
54,9875460c-3b53-4bd2-b752-4a7b3207bb2b,6764,Bauermouth,New York,Malta,"3728 Madison Mills Apt. 733
Omarbury, AR 64349"
55,66d50871-cfb0-457c-a7ea-c75ec3bdc057,64475,West James,Ohio,Saint Pierre and Miquelon,"55226 Buckley Bypass Apt. 742
Debraberg, TN 41373"
56,488b8cb6-06bb-42ea-b018-f13c19698124,76818,Kellyhaven,Alaska,Cyprus,"07728 David Shores
Lake Monica, ME 85705"
57,752e6595-62eb-41b5-a4d9-5f340652d814,86677,Thomasstad,South Carolina,Estonia,"13896 Howard Plaza
East Jonathanside, SC 55550"
58,68d0b711-64b4-4181-94b0-9da60771a4bb,7358,Jorgemouth,California,Christmas Island,"8895 Diaz Crossing
South Christianville, NM 60015"
59,c212f497-3a55-4c98-aea9-0a54ecf95ef1,43084,Finleyfort,Kentucky,Niue,"936 Wade Forks
Ramirezstad, SD 99359"
60,d70d0038-4ff6-405d-99a0-3e27684e0b11,12868,Ethanberg,North Dakota,Cocos (Keeling) Islands,"71984 Karen Street Apt. 171
Lesliefurt, ND 77763"
61,bc4a9f54-7f93-412d-aee0-41babde9f7c7,81958,Simpsonbury,Virginia,Slovakia (Slovak Republic),"42795 Arthur Islands Apt. 820
South Michaelport, RI 55377"
62,c29fe714-1b30-433a-83f5-05fad6a10084,52577,East Brittany,Montana,Haiti,"40759 Watkins Plains Apt. 682
East Melissa, OH 74338"
63,c340d489-e79d-4bdd-94e3-15dbcc244560,98589,West Kelseyberg,Missouri,Oman,"7207 Clayton Union Suite 563
South Thomaston, NM 81088"
64,9b1329e0-f890-497e-94fc-b8b3be942972,22876,Lake Ericaland,West Virginia,Fiji,"4632 April Plains
Clarkborough, PA 32789"
65,90f45551-bc3d-4d24-a8eb-73c18443ec47,89170,New Kimberly,Vermont,Afghanistan,"006 Gonzalez Green Apt. 564
Roberttown, ME 99179"
66,7eed9caa-025a-4887-a331-21a3b5fef946,38797,Grayside,Vermont,Netherlands,"USCGC Roth
FPO AP 08030"
67,6241e36c-1a88-4971-bed6-25149b466c04,73073,South Kelly,Alaska,Serbia,"4689 Amy Square Suite 157
Townsendfort, NC 00640"
68,051052d5-0872-4281-bb36-9ef4bf87c6f2,63249,Lake Cathyland,South Carolina,Aruba,"20413 Underwood Place
Rodgersshire, IN 16427"
69,5668c56e-3af8-4677-b307-aaf09532287b,71894,West Tyler,Tennessee,Luxembourg,"PSC 0925, Box 8765
APO AP 82932"
70,fc2496e0-d97f-437c-bb6b-8526930fc174,84406,North Heidibury,Florida,Puerto Rico,"1512 Mullins Flats
West Henrytown, WA 10852"
71,d09e95b6-2dd2-4908-9689-96a65127b3d8,53321,New Rogerbury,Colorado,Andorra,"5903 Ashley Mount
Michaelmouth, PW 98130"
72,321da85c-715c-4851-a543-c93cc2e3eb23,98044,Lake Tanner,Delaware,Lithuania,"4362 Holmes Plains Apt. 465
West Andrea, VT 61417"
73,2b705e74-58c2-4247-998e-051fb2cfe4c8,32935,East Michael,Massachusetts,Tanzania,"6921 Huerta Inlet
North Emily, NH 51583"
74,5ac72f0c-e995-4d05-8e6b-ec75d97f24fa,40100,Port Tanyashire,Alaska,Niue,"0673 James Meadows
West Jeanland, KS 05746"
75,8a949643-033a-471e-8ff8-db1aad104086,89792,North James,New Hampshire,Germany,"87845 Miller Island
New Mario, VI 24070"
76,29223517-3ed7-435b-a229-a76f1052e4d7,54307,Melissamouth,Pennsylvania,Cambodia,"09460 Brenda Centers Suite 638
South Gabriel, WI 17296"
77,13248508-6251-479a-955e-5cb907f94eb4,22435,Lake Ruth,New Mexico,Jordan,"671 Blackwell Groves Apt. 944
Taylorchester, PW 80645"
78,168279f3-7d94-4578-9bd6-8ec302e2c6e4,38193,East Robert,Nebraska,British Virgin Islands,"70284 Mcpherson Avenue
Vasquezmouth, GU 15788"
79,7c873d7f-d804-4f6c-96e6-a806be8a2d3c,58355,Brandymouth,Connecticut,Serbia,"73060 Dana Tunnel Suite 354
West Paula, NM 36379"
80,f5c7f46a-96ef-44cd-97e3-9318163dcbe0,45525,Stevensburgh,Montana,Guinea,"302 Bailey Overpass Suite 527
North Shanetown, AR 41929"
81,e248718b-8a64-4927-bb19-92878c129755,92037,New Tylermouth,Virginia,Montserrat,"19837 Brenda Plains Apt. 222
Schneiderport, KS 48135"
82,b14c26dd-13e8-418a-83d9-632e82f0effd,66406,Leeview,California,Aruba,"531 Kimberly Wells Suite 630
Mariashire, OK 80640"
83,04e01df9-1d9a-41fa-9a3a-21d3c70fde06,52159,Matthewberg,Washington,Belarus,"Unit 0469 Box 4159
DPO AA 72234"
84,1c9e0e75-18de-4887-80de-661b74957fb3,43675,New Jay,Connecticut,Mongolia,"73978 Jesse Spur Suite 570
Burkeport, HI 08109"
85,7ee030f0-3a51-4a40-aaf5-f8d08146b111,11118,Whiteburgh,New York,Belarus,"1117 Anthony Forge
Lake Kimville, OR 68909"
86,a6b4443f-fa34-49f7-843e-c76645810d71,39725,Johntown,New Mexico,El Salvador,"15806 Steven Neck
Webbville, ID 26256"
87,0967c5d2-6a2e-4f6d-8cd0-ebce2f2bdefe,38560,Lake Carolfurt,Georgia,Luxembourg,"8563 Charles Forges Apt. 550
North Daltonberg, PR 04119"
88,7796b3a9-c769-4f9f-a650-6d11e2496f0e,22431,West Spencerberg,Delaware,Hong Kong,"1717 Paul Center Apt. 511
Youngbury, SC 81098"
89,4ed72c96-02f7-45d0-ae0b-5be3faf1e5ac,45193,South Caitlin,South Carolina,Bolivia,"934 Brittany Stravenue
Joshuatown, ND 62878"
90,a68352d7-5a5a-4284-a1ce-c36d8607302f,94504,Jacksonport,California,Dominican Republic,"4806 Bowman Ports Suite 945
Lake Kellyhaven, NJ 93730"
91,a62611fd-7e3b-4105-baed-a6c7cb487672,60395,Browntown,Alabama,Saint Vincent and the Grenadines,"3505 Morgan Groves
Lake Carolinechester, MT 85986"
92,c50b8bb2-80fd-48ae-a373-ee150019dbc5,47280,Victorview,New Jersey,Tuvalu,"22358 Victoria Radial Suite 037
Millerview, OH 91813"
93,1b41eccb-1b0c-4afd-a11a-712ec81de7d6,93564,New Miguelshire,Kentucky,Malaysia,"44411 Medina Islands
Richardton, CO 31835"
94,f92860ad-8f39-4fd9-8984-7c66b38d2a3e,74227,Goodside,Indiana,North Macedonia,"102 Williams Brooks
East Scottstad, VA 54185"
95,ef335d2a-f9fe-4819-b699-42b5d4cd060c,20741,South Josephfurt,Missouri,Portugal,"437 Christopher Vista Suite 705
Whitneystad, CT 75217"
96,db91ad1d-e70e-425a-ad67-8ecbaef6639f,62052,Colefurt,Idaho,Slovakia (Slovak Republic),"PSC 2583, Box 7257
APO AP 72679"
97,b9680fe4-1f64-4487-9dde-56ad5f0b4fd0,59355,West Renee,Rhode Island,Kuwait,"PSC 1072, Box 8478
APO AP 12282"
98,731dbef8-e4d5-4eb5-8345-f75d5ccc9457,62464,Lake Linda,Kentucky,Grenada,"205 Brooks Branch
North Johnmouth, KY 71815"
99,d535b4af-76db-460e-a22e-f1137f169c5d,39513,South Robert,Iowa,United States Virgin Islands,"063 Michael Plains
Port Regina, CA 58526"
100,2ef4a6b1-b5e5-4fc8-b289-a9e590165863,62456,Sullivanberg,Ohio,United States of America,"742 Jackson Estate Suite 736
New Arthurmouth, GA 47171"
101,18704394-d7e4-4e23-85b4-3390ca5d1710,8223,Port Codyport,Maine,Saint Pierre and Miquelon,"838 Williams Landing
Vargasburgh, GA 17338"
102,74a22756-611c-4774-b8c2-1a2dfb3feb01,62907,South Wendyburgh,Minnesota,Estonia,"8878 Lynch Rapid
Emilyville, MA 79361"
103,876e95aa-062a-4812-b285-e1a278240bde,40711,Jeffreyland,Ohio,Slovenia,"3608 Matthew Turnpike
Port Taylor, AL 01320"
104,0c10bff4-e805-4078-87a2-f8802165f89a,58013,Lake Elizabethview,Kansas,Germany,"443 Stevens Alley
Danielmouth, HI 31955"
105,a22a16f3-f60c-4cbd-ae2a-4d65d3e7856a,36230,Shahside,Colorado,Faroe Islands,"266 Gonzales Fort Apt. 646
Lake Heather, RI 75510"
106,e36529e6-67f6-4e91-8431-60694685a3d7,40122,Lake Nathanhaven,Texas,Antigua and Barbuda,"40781 Davis Pike Suite 769
North Toddchester, UT 31802"
107,032e5cc7-84c8-4693-a902-077902c811b9,72368,Walterbury,Kentucky,Greenland,"9610 David Forges
Lake Louismouth, HI 67523"
108,f63526e2-d2e7-470c-ba5c-7f7d0115ef3a,22643,New Thomas,New Jersey,Myanmar,"06052 Ashley Brooks Suite 055
West Patrick, MS 15592"
109,e13af354-ecc5-4062-b0ed-c331dbf781e4,26840,Lake Shannonport,Maryland,Chad,"158 Cheryl Parks
South Sarah, CT 34032"
110,6320730f-e631-4aea-80a4-d86d41a47c11,82111,Debbieland,New Jersey,Saint Pierre and Miquelon,"838 Wall Hollow Apt. 446
Hintonside, MA 18158"
111,cb88b521-53dc-4455-9114-6569d880f876,46402,Lake Adrian,Oregon,Algeria,"066 Green Fort Suite 309
Rachelside, MD 26627"
112,41296c35-8d3d-4b4e-9136-5de2b2c8c536,95198,Lake Leslie,West Virginia,Cook Islands,"92646 Brandon Cove Apt. 508
North Morganshire, PA 43763"
113,4efca02a-75cf-4129-a403-ba7e9c027274,71952,North Katelyn,North Carolina,Mayotte,"177 Garcia Road Suite 471
Chenton, HI 08272"
114,4bf0be7e-033a-4a24-b557-ede9469c2db6,42917,Bennettmouth,California,Suriname,"3390 Vazquez Hill
Hammondstad, AS 47699"
115,40022a57-2226-473b-9161-e12187263791,7321,Lake Laura,Michigan,Netherlands,"90992 Wilson Cliff Suite 529
North Kristin, TX 09159"
116,ad742261-5858-4ee2-a401-c895487542e6,23874,East Pamelaside,South Carolina,Germany,"93696 Lawson Valleys
Sarahside, VT 50893"
117,16d59819-fee0-40f1-8725-3c7ac6d276e1,49847,Wolfhaven,Montana,Latvia,"424 Bryan Inlet
New Christy, MP 86014"
118,dc2bd564-6a1d-455a-b75a-4adfa6dd8ebb,36000,South Daltonburgh,South Carolina,Oman,"58507 Carpenter Lake
East Raymondburgh, RI 61182"
119,37102168-6a28-4555-b58f-c0ef241088d9,55241,East Loriview,Nevada,Somalia,"00659 Lester Roads
Sheppardport, KS 68161"
120,bc1d3c89-ec7d-40a8-b9ff-bf0fddcb7e2d,23973,Terristad,Texas,Canada,"29164 Harris Well Suite 899
South Ericside, WY 66073"
121,05dec35d-6754-4582-ade5-327299f32c83,99302,East Elizabethmouth,New Hampshire,Greenland,"5495 Tiffany Square
South Morgan, WV 01163"
122,e7b6f6d8-068f-44c2-a38d-cf577b6b0c57,62187,North Heathermouth,New Jersey,South Africa,"0355 Thomas Ramp Apt. 040
Longton, MI 01054"
123,c2f0da10-6ad3-4924-b64d-8c2419fe5f60,44276,South Christopherland,New York,Niger,"42047 Cole Alley Apt. 405
North Dianashire, AL 23263"
124,263ebf90-46b5-4453-992b-a17f993ba45b,73330,South Johnstad,Massachusetts,Cayman Islands,"342 Jo Greens
North Williambury, ND 38428"
125,97ff2078-dccc-4314-b37e-fdbc5b1b6bbd,7953,Timothyburgh,Alabama,Seychelles,"554 Jeremy Pike
Allenberg, CT 11427"
126,126071f0-6ecb-4ecf-a6a9-29ef0df58275,17557,Fisherport,New Hampshire,Jersey,"6049 Shaw Ranch
Pettyview, VT 11992"
127,2541a355-b4eb-4ae9-ae6b-de65cef65274,68142,New Mitchell,Maryland,Finland,"03124 Long Locks
South Martin, ND 89721"
128,feeb58ca-f5e4-45a0-8c11-66fd772459d5,75236,West Richard,Kansas,South Africa,"91580 Roberts Alley
New Marcusport, MA 32752"
129,43cec906-6f64-468f-ac60-26913c38ec8e,79370,East Monicafort,North Dakota,Barbados,"4192 Brown Rapids Apt. 807
Jonesview, NV 18603"
130,02d8cddb-96cd-4e71-8b58-dbc629ec1799,1612,Browntown,New Mexico,Antigua and Barbuda,"USCGC Wilson
FPO AP 95123"
131,6b8293ca-8dcf-4883-83dd-263a9bf38003,68122,Melaniechester,Oklahoma,Morocco,"49274 Robert Street Suite 151
West Ashleyshire, OH 91332"
132,3fe1b39e-ceb3-4fe5-b836-41b746999830,99057,South Jennifermouth,Kentucky,Jersey,"9705 Camacho Mall
Port Raymond, ME 21353"
133,06811402-b75f-445d-99b3-e828cb4e8fda,84260,Robertfurt,Wyoming,South Africa,"743 Grant Center Suite 046
East Brittanyburgh, NC 57094"
134,fa54a2fc-0720-49b2-8b38-ec3d573968b2,46503,Davishaven,Minnesota,Turkey,"2670 Richards Rapid
Johnsonchester, LA 30589"
135,7d458173-5eb1-429b-aed6-dcb5528c9dfa,77153,Sheltonmouth,Arkansas,Tuvalu,"44714 Ramirez Greens
New Allison, WY 97530"
136,d002f6a2-14cb-4f61-ac39-1f8944a95953,98969,East Shane,Vermont,United Arab Emirates,"325 Hunt Passage
East Karen, KS 75547"
137,b0892a88-cfdf-41bb-ac1a-52426e146bb3,2605,South Lori,North Dakota,North Macedonia,"65158 Bradford Flats
Faulknerport, ID 77964"
138,72a10333-06ac-48fd-a19b-a0160185fc39,3740,Richardshire,Michigan,Luxembourg,"70387 George Mills
Johnstad, AS 32224"
139,1ac40202-a163-498b-8b4f-063f0f84ff29,99814,Barnettfurt,Hawaii,Seychelles,"0416 Nelson Drive Suite 205
New Dianaton, NJ 17819"
140,44304013-3b7a-429f-bb0a-ce1ea4fad1be,75872,Reynoldsport,Wisconsin,Bulgaria,"9033 Wendy Dale Suite 203
Carpentermouth, CA 25515"
141,0e3aed20-c3dc-4e3f-8612-3fc1ce1b3f4b,31698,Stanleyton,Idaho,Micronesia,"91879 Anne Oval
Michaelburgh, PA 81929"
142,e8cfbc82-b5d9-4625-be8a-f422c63abd9d,56685,Stevensshire,Rhode Island,Jamaica,"070 Mendez Trail Suite 191
Kimberlymouth, NM 88812"
143,c308ef44-7b7f-48d0-9cff-057404a35602,93678,Maryshire,Alaska,Germany,"7342 Williams Parkways
Tanyatown, RI 34819"
144,e98ffed6-8ff2-47ec-8607-f916503f8058,84033,Steelefort,Iowa,Cocos (Keeling) Islands,"920 King Forks
South Joshuaborough, DE 40586"
145,4ff66dd7-390f-4ce5-ac1a-04ba9ed4b1e0,82155,New Jennifer,Wisconsin,Guadeloupe,"55451 Jonathan Harbors Suite 700
Lake Jeffreyton, MT 13652"
146,2eb60243-51dd-4c97-b4de-d6df63882ccd,8481,South Anthonychester,Oregon,France,"25062 Lori Haven
Hammondfurt, AL 05715"
147,fb0f2e7e-c2c6-47e9-a1a4-5c1083479d4a,58997,Lake Melanie,Hawaii,Romania,"1843 Michelle Flat Suite 539
Carlsonmouth, MO 04375"
148,33506b6a-fe8a-4564-995c-43377b09a662,7553,Stevenmouth,Mississippi,Falkland Islands (Malvinas),"Unit 7738 Box 9733
DPO AE 81094"
149,0de34f84-523b-424e-b0d3-48defeda41d1,53791,Simmonsmouth,Minnesota,Mauritius,"30714 Black Port
Port Mandy, KS 02494"
150,af3634ed-df1f-44fb-9509-99a9d276b606,11914,New Gregory,Washington,Spain,"084 Lam Drive Apt. 301
Garciatown, AK 26168"
151,8041e46f-5cc7-4c5a-bbdd-37f3c46b0fb7,71793,Lake Annette,Vermont,Paraguay,"0359 Durham Hills Suite 539
New Kimberly, TX 81847"
152,5e6f57dc-ea71-4bcd-ad90-8d807cb39596,21865,Danielleport,Alabama,Namibia,"82090 Bailey Passage Apt. 376
Lisamouth, AK 92233"
153,f79e2fac-9904-4050-be3d-904d6b9db562,86744,Andrewtown,Louisiana,Brazil,"PSC 1681, Box 1930
APO AE 13639"
154,befc22d6-c6c2-49e3-9cb2-5942cd898d83,89376,New Deannaburgh,Hawaii,Dominica,"2242 Mercer View
West Dustinview, SD 91681"
155,8829d9b7-cff3-4fd3-b230-7109fca4265f,15274,South Janice,Idaho,Belarus,"PSC 7436, Box 5096
APO AP 50596"
156,21c6a38b-4ff8-46e3-9f96-c9471a1c55bc,11164,Lake Lisastad,Tennessee,Sierra Leone,"478 Martinez Drives Apt. 165
Bucktown, GU 73399"
157,904a5ec7-e9ca-44a8-b16c-e55ca362ca98,83910,Parksfurt,Oregon,Trinidad and Tobago,"099 Woods Meadows Suite 409
South Julie, LA 67824"
158,a307cabd-3231-4676-9fa4-1e1908f16486,20934,Lake Markmouth,Michigan,Angola,"59726 Mary Union
Williamsland, RI 83747"
159,a6ed7fc3-f4d5-4308-9899-c7c9149e9b0c,25494,Port Brandon,Maine,Singapore,"076 Reynolds Grove Suite 331
Weberfort, NJ 43606"
160,eac79142-0484-4782-9767-6697b7ea6f4e,95349,South Mariahland,Iowa,Kenya,"2161 Robinson Forest
Traciborough, KS 80846"
161,fd4fae21-0582-4eb7-9418-92e348b90f5c,32599,Port Jeremyland,Michigan,North Macedonia,"Unit 6888 Box 9017
DPO AE 32717"
162,8ffa2a82-a51c-4755-9867-d3d665812afe,93971,Frankmouth,Colorado,Macao,"4237 Nguyen Curve Suite 990
Michaelstad, LA 34586"
163,aa1a84f8-bc2d-42d3-9167-95b905ecb9ca,20077,Elliottmouth,South Dakota,Hong Kong,"5462 Christopher Mountain Apt. 263
Scotttown, WI 31785"
164,349f9fef-6a78-4a3d-b55f-50a10610e1ea,54258,Simsstad,Oklahoma,Australia,"2322 Gibson Vista
Lake Danielview, MI 40240"
165,97a03e11-7ff1-497c-b53c-b8ae76f2e240,66372,New Johnton,Alabama,Venezuela,"19067 Julie Falls
Chadmouth, SD 97305"
166,bae15791-6a21-4bef-bdb3-dd8fdaad62b5,5719,Lake Davidfort,Utah,Sao Tome and Principe,"Unit 9014 Box 4101
DPO AP 02202"
167,874209f6-4beb-413f-88ec-729e4747fed8,51969,Mcculloughmouth,Nevada,Jordan,"PSC 0759, Box 1162
APO AE 63971"
168,69d86726-483a-4325-bbf9-1f7728a52241,87071,West Pamela,Oklahoma,Venezuela,"4094 Silva Walks
East Williamshire, OH 88539"
169,1f22759d-b579-4bc2-937b-20e2c28eefee,56418,Carolinechester,Iowa,Libyan Arab Jamahiriya,"4328 Randy Branch Apt. 111
Velezmouth, SC 38608"
170,3a6ae33c-1c6f-4a6a-a5d5-320ac25c5301,76246,North Michaelchester,Colorado,Lithuania,"8468 Poole Dam
Sandramouth, IL 62344"
171,aecf1789-4d41-4d27-9be0-7e96ca4f8824,47433,Adamsville,Texas,Svalbard & Jan Mayen Islands,"243 Mcknight Drives Suite 911
Rachaelhaven, PA 89946"
172,23a14d5d-cbda-4770-a657-5878a8466791,3943,Johnsonshire,Georgia,United Kingdom,"USNV Brown
FPO AE 69213"
173,fc1c0fbc-9c6a-4b40-b846-2696db1d2205,4272,Jeanettestad,North Carolina,New Zealand,"USCGC Mcconnell
FPO AP 84390"
174,a1599a7f-3df5-4a8d-8806-a51760ecdb2e,77275,Evansbury,Delaware,French Polynesia,"Unit 2400 Box 7544
DPO AA 08422"
175,95bf0dc5-c289-4f37-8b28-9992939ee535,81372,Georgeton,Maine,Jamaica,"0457 Patrick Station Apt. 026
West Zachary, NJ 39894"
176,31af90c4-3950-48ca-8a08-5141eef98cce,40654,North Danielleton,Delaware,Kyrgyz Republic,"PSC 3763, Box 5671
APO AP 13476"
177,7ecd584d-2bcf-47f5-9e29-642006a09611,41602,West Kathyland,North Dakota,Rwanda,"9332 Walker Parkways
West Brittney, AZ 83832"
